id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
1,1,4068631943231473,0217,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
2,2,4177816490204479,0813,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
3,3,4271805778010747,1220,failed,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
4,4,4048033451067370,0313,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
5,5,4297222478855497,1215,failed,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
6,6,4068631943231473,0217,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
7,7,4177816490204479,0813,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
8,8,4271805778010747,1220,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
9,9,4048033451067370,0313,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
10,10,4297222478855497,1215,success,2012-02-26 20:56:56 UTC,2012-02-26 20:56:56 UTC
